count,channel_1,channel_2,channel_3,channel_4,acc_x,acc_y,acc_z,resistance_1,resistance_2,resistance_3,resistance_4,resistance_5,timestamp,marker,class
118.0,-951.00794,-362.721677,-892.502815,-279.692158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.523342,0.0,eyes_blink
119.0,-956.823484,-345.132928,-866.693765,-270.091835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.523767,0.0,eyes_blink
119.0,-956.344777,-339.549257,-866.955558,-285.687218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.523778,0.0,eyes_blink
120.0,-993.066855,-363.952104,-899.937736,-291.162431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.52476,0.0,eyes_blink
120.0,-988.623854,-371.308487,-905.124977,-290.698684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.524774,0.0,eyes_blink
121.0,-951.535266,-349.624547,-871.162946,-283.566694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.525196,0.0,eyes_blink
121.0,-983.200999,-345.690173,-870.934812,-294.831273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.525217,0.0,eyes_blink
122.0,-944.691249,-351.479538,-883.231603,-286.902685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.525784,0.0,eyes_blink
122.0,-972.220653,-367.299315,-897.510541,-279.022716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.525797,0.0,eyes_blink
123.0,-985.280383,-348.244524,-868.283223,-280.223224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.526954,0.0,eyes_blink
123.0,-970.029071,-346.101562,-876.417505,-291.502762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.526968,0.0,eyes_blink
124.0,-960.593304,-359.845694,-890.879698,-293.170758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.553001,0.0,eyes_blink
124.0,-966.401368,-381.742808,-908.502107,-298.481415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.553021,0.0,eyes_blink
125.0,-963.858236,-357.078168,-882.924931,-292.460177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.55325,0.0,eyes_blink
125.0,-990.901453,-343.962339,-877.72647,-297.351966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.553273,0.0,eyes_blink
126.0,-960.791518,-353.62998,-884.877159,-296.308534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.582728,0.0,eyes_blink
126.0,-958.293265,-371.783455,-899.978875,-290.163878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.582744,0.0,eyes_blink
127.0,-961.393642,-350.892373,-872.752403,-278.48791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.583113,0.0,eyes_blink
