0.000000,-859.679583,-170.350573,-719.560491,-115.979907,0.000000.1,0.000000.2,0.000000.3,0.000000.4,0.000000.5,0.000000.6,0.000000.7,0.000000.8,1704023132.520409,0.000000.9,-875.491880,-204.866110,-747.078675,-137.888241,1704023231.460497,class
156.0,-868.232734,-179.285194,-724.063331,-111.106818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023133.090272,0.0,,,,,,eyes_closed_movement
157.0,-845.183731,-185.848718,-725.899622,-109.15085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023133.090565,0.0,,,,,,eyes_closed_movement
157.0,-829.50607,-167.904678,-701.709949,-97.830173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023133.090573,0.0,,,,,,eyes_closed_movement
158.0,-842.954751,-163.671112,-700.789933,-106.577799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023133.105277,0.0,,,,,,eyes_closed_movement
158.0,-825.373481,-178.073466,-717.75038,-111.435929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023133.105293,0.0,,,,,,eyes_closed_movement
159.0,-795.835751,-175.231142,-719.2239,-100.395744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023133.120351,0.0,,,,,,eyes_closed_movement
159.0,-838.358413,-169.475436,-706.048233,-103.095952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023133.12036,0.0,,,,,,eyes_closed_movement
160.0,-852.757028,-164.624786,-705.229195,-112.13529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023133.120608,0.0,,,,,,eyes_closed_movement
160.0,-827.755797,-164.366733,-705.663023,-103.492382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023133.120616,0.0,,,,,,eyes_closed_movement
161.0,-848.893712,-180.048134,-721.191088,-104.431096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023133.135089,0.0,,,,,,eyes_closed_movement
161.0,-852.611172,-168.506802,-706.332465,-100.762255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023133.135098,0.0,,,,,,eyes_closed_movement
162.0,-859.316813,-165.032435,-707.390857,-116.522193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023133.150346,0.0,,,,,,eyes_closed_movement
162.0,-838.911919,-174.550481,-716.856544,-112.460662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023133.150364,0.0,,,,,,eyes_closed_movement
163.0,-835.695605,-180.93449,-723.939914,-104.012228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023133.150598,0.0,,,,,,eyes_closed_movement
163.0,-855.288941,-175.803347,-715.570018,-105.755021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023133.150606,0.0,,,,,,eyes_closed_movement
164.0,-863.980468,-171.906371,-718.221607,-111.282593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023133.165279,0.0,,,,,,eyes_closed_movement
164.0,-811.56577,-161.711404,-708.531526,-93.880839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023133.165296,0.0,,,,,,eyes_closed_movement
165.0,-826.499191,-178.447456,-725.020745,-97.822693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023133.179856,0.0,,,,,,eyes_closed_movement
165.0,-848.788994,-171.341647,-713.756167,-103.208149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023133.17988,0.0,,,,,,eyes_closed_movement
166.0,-865.274473,-165.851473,-709.799352,-108.144817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023133.180319,0.0,,,,,,eyes_closed_movement
166.0,-834.132327,-174.924471,-717.499806,-108.619784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023133.180326,0.0,,,,,,eyes_closed_movement
167.0,-835.037382,-185.519607,-729.037398,-108.369211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023133.195298,0.0,,,,,,eyes_closed_movement
167.0,-881.314904,-180.280007,-721.359383,-109.693136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023133.195307,0.0,,,,,,eyes_closed_movement
168.0,-892.859976,-184.562193,-729.69188,-124.09175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023133.210328,0.0,,,,,,eyes_closed_movement
168.0,-872.735574,-193.915683,-744.157813,-128.549711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023133.210345,0.0,,,,,,eyes_closed_movement
169.0,-862.387271,-196.578491,-749.995797,-120.321931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023133.210583,0.0,,,,,,eyes_closed_movement
169.0,-862.41345,-191.709142,-731.606709,-118.287426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023133.210592,0.0,,,,,,eyes_closed_movement
170.0,-879.99098,-186.989388,-734.385455,-130.48324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023133.2252,0.0,,,,,,eyes_closed_movement
170.0,-874.280153,-200.419369,-750.934512,-131.085363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023133.225217,0.0,,,,,,eyes_closed_movement
171.0,-862.862238,-204.566918,-759.117413,-121.096091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023133.239945,0.0,,,,,,eyes_closed_movement
171.0,-830.702838,-183.283147,-727.115089,-112.696275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023133.239954,0.0,,,,,,eyes_closed_movement
172.0,-870.072765,-191.507187,-737.381115,-127.726933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023133.240469,0.0,,,,,,eyes_closed_movement
172.0,-870.547732,-197.775259,-746.345655,-125.112743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023133.240488,0.0,,,,,,eyes_closed_movement
173.0,-870.229841,-208.523732,-757.531696,-126.376829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023133.255309,0.0,,,,,,eyes_closed_movement
173.0,-857.484262,-187.393297,-732.556644,-116.477314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023133.255318,0.0,,,,,,eyes_closed_movement
174.0,-845.785855,-182.209796,-730.193027,-129.462247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023133.270554,0.0,,,,,,eyes_closed_movement
174.0,-863.382084,-195.961408,-748.200645,-125.146402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023133.270565,0.0,,,,,,eyes_closed_movement
175.0,-877.956474,-214.227079,-760.770449,-124.159069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023133.270835,0.0,,,,,,eyes_closed_movement
175.0,-900.033104,-199.099184,-741.251911,-122.808965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023133.270869,0.0,,,,,,eyes_closed_movement
176.0,-868.128017,-179.677884,-729.033658,-124.48444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023133.285628,0.0,,,,,,eyes_closed_movement
176.0,-856.309933,-191.959715,-739.172527,-123.441008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023133.285638,0.0,,,,,,eyes_closed_movement
177.0,-858.370618,-203.497306,-748.368941,-118.018153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023133.300271,0.0,,,,,,eyes_closed_movement
